         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.133    0.007    0.134    0.007 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimes.py:744(_format_native_types)
    17592    0.130    0.000    0.132    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_soil_layer.py:422(variable_soil_depth)
723654/723646    0.130    0.000    0.392    0.000 {built-in method builtins.getattr}
   175930    0.124    0.000    0.325    0.000 {method 'all' of 'numpy.generic' objects}
   299078    0.118    0.000    0.118    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
    87964    0.115    0.000    0.115    0.000 {method 'view' of 'numpy.generic' objects}
    17592    0.114    0.000    0.178    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\raster_gradients.py:240(calc_grad_at_link)
   439599    0.107    0.000    0.107    0.000 {built-in method numpy.zeros}
    35237    0.106    0.000    0.286    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
   228748    0.103    0.000    0.296    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\dataarray.py:773(values)
   633824    0.101    0.000    0.101    0.000 {built-in method numpy.asanyarray}
    88007    0.100    0.000    0.565    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\datetimelike.py:373(__getitem__)
    17592    0.097    0.000    1.902    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\divergence.py:8(calc_flux_div_at_node)
    35184    0.093    0.000    1.222    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_read_dataset.py:245(get_one_step_dataset)
    52777    0.092    0.000    0.102    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:203(ones_like)
    52778    0.089    0.000    0.089    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_store_functions.py:371(addtime)
    17592    0.088    0.000    1.443    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\cuwalid\dryp\components\DRYP_infiltration.py:45(run_infiltration_one_step)
    87989    0.087    0.000    0.673    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
   669531    0.085    0.000    0.085    0.000 {built-in method builtins.hasattr}
    87968    0.083    0.000    1.012    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\field\graph_field.py:362(__getitem__)
    35206    0.078    0.000    0.361    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexing.py:1719(_getitem_axis)
   228748    0.076    0.000    0.097    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\variable.py:324(_as_array_or_item)
538116/449394    0.073    0.000    0.098    0.000 {built-in method builtins.len}
   827500    0.069    0.000    0.069    0.000 {built-in method builtins.issubclass}
52776/35184    0.069    0.000    2.152    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\utils\decorators.py:216(_wrapped)
    88007    0.068    0.000    0.457    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\arrays\_mixins.py:278(__getitem__)
   228748    0.068    0.000    0.165    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\xarray\core\variable.py:537(values)
    17593    0.068    0.000    0.575    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\mappers.py:76(map_link_head_node_to_link)
    87960    0.066    0.000    0.979    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\dual.py:56(node_at_cell)
    35211    0.064    0.000    0.139    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\grid\decorators.py:137(_wrapped)
    70373    0.064    0.000    0.075    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\contextlib.py:104(__init__)
    17592    0.064    0.000    0.092    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
   211355    0.063    0.000    0.063    0.000 {built-in method numpy.empty}
    35324    0.058    0.000    0.085    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:274(full)
